Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor
'2014',1,Ciutat Vella,1,el Raval,1,1001,15
'2014',1,Ciutat Vella,1,el Raval,1,1002,14
'2014',1,Ciutat Vella,1,el Raval,2,1003,30
'2014',1,Ciutat Vella,1,el Raval,2,1004,24
'2014',1,Ciutat Vella,1,el Raval,3,1005,16
'2014',1,Ciutat Vella,1,el Raval,3,1006,9
'2014',1,Ciutat Vella,1,el Raval,3,1007,18
'2014',1,Ciutat Vella,1,el Raval,4,1008,41
'2014',1,Ciutat Vella,1,el Raval,4,1009,22
'2014',1,Ciutat Vella,1,el Raval,4,1010,23
'2014',1,Ciutat Vella,1,el Raval,5,1011,38
'2014',1,Ciutat Vella,1,el Raval,5,1012,20
'2014',1,Ciutat Vella,1,el Raval,5,1013,13
'2014',1,Ciutat Vella,1,el Raval,6,1014,7
'2014',1,Ciutat Vella,1,el Raval,6,1015,28
'2014',1,Ciutat Vella,1,el Raval,6,1016,12
'2014',1,Ciutat Vella,1,el Raval,6,1017,33
'2014',1,Ciutat Vella,1,el Raval,7,1018,14
'2014',1,Ciutat Vella,1,el Raval,7,1019,21
'2014',1,Ciutat Vella,1,el Raval,7,1020,12
'2014',1,Ciutat Vella,1,el Raval,8,1021,17
'2014',1,Ciutat Vella,2,el Barri Gòtic,9,1022,7
'2014',1,Ciutat Vella,2,el Barri Gòtic,9,1023,13
'2014',1,Ciutat Vella,2,el Barri Gòtic,10,1025,5
'2014',1,Ciutat Vella,2,el Barri Gòtic,10,1026,13
'2014',1,Ciutat Vella,2,el Barri Gòtic,10,1027,14
'2014',1,Ciutat Vella,2,el Barri Gòtic,11,1028,11
'2014',1,Ciutat Vella,2,el Barri Gòtic,11,1029,10
'2014',1,Ciutat Vella,2,el Barri Gòtic,12,1030,14
'2014',1,Ciutat Vella,2,el Barri Gòtic,12,1031,10
'2014',1,Ciutat Vella,3,la Barceloneta,13,1032,9
'2014',1,Ciutat Vella,3,la Barceloneta,13,1033,9
'2014',1,Ciutat Vella,3,la Barceloneta,13,1034,..
'2014',1,Ciutat Vella,3,la Barceloneta,14,1035,6
'2014',1,Ciutat Vella,3,la Barceloneta,14,1036,5
'2014',1,Ciutat Vella,3,la Barceloneta,15,1037,7
'2014',1,Ciutat Vella,3,la Barceloneta,15,1038,6
'2014',1,Ciutat Vella,3,la Barceloneta,15,1039,10
'2014',1,Ciutat Vella,3,la Barceloneta,15,1040,6
'2014',1,Ciutat Vella,3,la Barceloneta,15,1041,13
'2014',1,Ciutat Vella,3,la Barceloneta,15,1042,15
'2014',1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,13
'2014',1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,14
'2014',1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,12
'2014',1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,9
'2014',1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,16
'2014',1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,22
'2014',1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,13
'2014',1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,8
'2014',1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,13
'2014',1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,14
'2014',1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,14
'2014',1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,7
'2014',1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,12
'2014',2,Eixample,5,el Fort Pienc,20,2001,17
'2014',2,Eixample,5,el Fort Pienc,20,2002,10
'2014',2,Eixample,5,el Fort Pienc,20,2003,7
'2014',2,Eixample,5,el Fort Pienc,20,2004,14
'2014',2,Eixample,5,el Fort Pienc,20,2005,29
'2014',2,Eixample,5,el Fort Pienc,20,2006,16
'2014',2,Eixample,5,el Fort Pienc,20,2007,10
'2014',2,Eixample,5,el Fort Pienc,20,2008,14
'2014',2,Eixample,5,el Fort Pienc,20,2009,22
'2014',2,Eixample,5,el Fort Pienc,21,2010,..
'2014',2,Eixample,5,el Fort Pienc,21,2011,10
'2014',2,Eixample,5,el Fort Pienc,21,2012,11
'2014',2,Eixample,5,el Fort Pienc,21,2013,7
'2014',2,Eixample,5,el Fort Pienc,22,'2014',11
'2014',2,Eixample,5,el Fort Pienc,22,2015,10
'2014',2,Eixample,5,el Fort Pienc,22,2016,16
'2014',2,Eixample,5,el Fort Pienc,22,2017,11
'2014',2,Eixample,5,el Fort Pienc,22,2018,8
'2014',2,Eixample,5,el Fort Pienc,22,2019,18
'2014',2,Eixample,5,el Fort Pienc,22,2020,13
'2014',2,Eixample,6,la Sagrada Família,23,2021,15
'2014',2,Eixample,6,la Sagrada Família,23,2022,9
'2014',2,Eixample,6,la Sagrada Família,23,2023,8
'2014',2,Eixample,6,la Sagrada Família,23,2024,13
'2014',2,Eixample,6,la Sagrada Família,24,2025,5
'2014',2,Eixample,6,la Sagrada Família,24,2026,13
'2014',2,Eixample,6,la Sagrada Família,24,2027,16
'2014',2,Eixample,6,la Sagrada Família,24,2028,17
'2014',2,Eixample,6,la Sagrada Família,24,2029,5
'2014',2,Eixample,6,la Sagrada Família,24,2030,19
'2014',2,Eixample,6,la Sagrada Família,24,2031,10
'2014',2,Eixample,6,la Sagrada Família,24,2032,11
'2014',2,Eixample,6,la Sagrada Família,25,2033,15
'2014',2,Eixample,6,la Sagrada Família,25,2034,8
'2014',2,Eixample,6,la Sagrada Família,25,2035,6
'2014',2,Eixample,6,la Sagrada Família,25,2036,6
'2014',2,Eixample,6,la Sagrada Família,25,2037,10
'2014',2,Eixample,6,la Sagrada Família,25,2038,7
'2014',2,Eixample,6,la Sagrada Família,25,2039,16
'2014',2,Eixample,6,la Sagrada Família,25,2040,21
'2014',2,Eixample,6,la Sagrada Família,26,2041,14
'2014',2,Eixample,6,la Sagrada Família,26,2042,9
'2014',2,Eixample,6,la Sagrada Família,26,2043,12
'2014',2,Eixample,6,la Sagrada Família,26,2044,9
'2014',2,Eixample,6,la Sagrada Família,26,2045,12
'2014',2,Eixample,6,la Sagrada Família,26,2046,18
'2014',2,Eixample,6,la Sagrada Família,26,2047,10
'2014',2,Eixample,6,la Sagrada Família,26,2048,15
