Date,Month,Year,Country,Product,Revenue,MarketingSpend,NewCustomers,ChurnRate,NPS
01/01/2023,January,2023,Spain,Basic,-10,11,0,4.1,39
02/01/2023,January,2023,Spain,Basic,-58,62,1,4.3,39
03/01/2023,January,2023,Spain,Basic,-29,32,0,4.53,35
04/01/2023,January,2023,Spain,Basic,-4,4,0,4.77,38
05/01/2023,January,2023,Spain,Basic,-12,13,0,4.38,43
06/01/2023,January,2023,Spain,Basic,-35,38,1,4.77,39
07/01/2023,January,2023,Spain,Basic,0,0,0,4.61,37
08/01/2023,January,2023,Spain,Basic,-12,12,0,4.96,38
09/01/2023,January,2023,Spain,Basic,-5,5,0,4.61,40
10/01/2023,January,2023,Spain,Basic,-2,3,0,4.96,36
11/01/2023,January,2023,Spain,Basic,0,0,0,4.93,38
12/01/2023,January,2023,Spain,Basic,-10,11,0,4.39,36
13/01/2023,January,2023,Spain,Basic,-137,146,2,4.53,37
14/01/2023,January,2023,Spain,Basic,-73,78,1,4.86,35
15/01/2023,January,2023,Spain,Basic,-2,3,0,4.61,34
16/01/2023,January,2023,Spain,Basic,-26,27,0,4.69,40
17/01/2023,January,2023,Spain,Basic,-14,16,0,4.87,42
18/01/2023,January,2023,Spain,Basic,-3,3,0,4.65,41
19/01/2023,January,2023,Spain,Basic,-13,14,0,4.32,37
20/01/2023,January,2023,Spain,Basic,-58,62,1,4.34,40
21/01/2023,January,2023,Spain,Basic,-6,7,0,4.09,44
22/01/2023,January,2023,Spain,Basic,-65,69,1,4.52,39
23/01/2023,January,2023,Spain,Basic,-1,2,0,4.31,37
24/01/2023,January,2023,Spain,Basic,-33,35,1,4.53,37
25/01/2023,January,2023,Spain,Basic,-5,5,0,4.83,38
26/01/2023,January,2023,Spain,Basic,-22,24,0,4.86,44
27/01/2023,January,2023,Spain,Basic,-36,38,1,4.91,40
28/01/2023,January,2023,Spain,Basic,-13,14,0,4.95,41
29/01/2023,January,2023,Spain,Basic,-12,12,0,4.96,41
30/01/2023,January,2023,Spain,Basic,-10,11,0,4.14,34
31/01/2023,January,2023,Spain,Basic,-10,11,3,4.73,41
01/01/2023,January,2023,Spain,Pro,246,15,0,2.36,68
02/01/2023,January,2023,Spain,Pro,1818,113,2,2.73,60
03/01/2023,January,2023,Spain,Pro,224,14,0,2.56,65
04/01/2023,January,2023,Spain,Pro,348,22,0,2.33,58
05/01/2023,January,2023,Spain,Pro,625,39,1,2.15,65
06/01/2023,January,2023,Spain,Pro,1,0,0,2.35,59
07/01/2023,January,2023,Spain,Pro,530,33,1,1.92,67
08/01/2023,January,2023,Spain,Pro,217,13,0,2.69,66
09/01/2023,January,2023,Spain,Pro,109,7,0,2.73,67
10/01/2023,January,2023,Spain,Pro,246,15,0,2.75,65
11/01/2023,January,2023,Spain,Pro,1224,76,1,2.39,65
12/01/2023,January,2023,Spain,Pro,611,38,1,2.17,63
13/01/2023,January,2023,Spain,Pro,23,1,0,2.18,60
14/01/2023,January,2023,Spain,Pro,1305,81,2,2.14,67
15/01/2023,January,2023,Spain,Pro,482,30,1,2.18,58
16/01/2023,January,2023,Spain,Pro,73,5,0,2.71,60
17/01/2023,January,2023,Spain,Pro,606,38,1,2.66,61
18/01/2023,January,2023,Spain,Pro,962,60,1,2.43,62
19/01/2023,January,2023,Spain,Pro,20,1,0,2.55,59
20/01/2023,January,2023,Spain,Pro,1206,75,1,2.18,58
21/01/2023,January,2023,Spain,Pro,682,42,1,2.64,61
22/01/2023,January,2023,Spain,Pro,131,8,0,2.21,60
23/01/2023,January,2023,Spain,Pro,1127,70,1,2.12,67
24/01/2023,January,2023,Spain,Pro,798,50,1,2.67,58
25/01/2023,January,2023,Spain,Pro,655,41,1,2.47,60
26/01/2023,January,2023,Spain,Pro,6,0,0,2.0,65
27/01/2023,January,2023,Spain,Pro,184,11,0,2.74,65
28/01/2023,January,2023,Spain,Pro,218,14,0,2.41,60
29/01/2023,January,2023,Spain,Pro,118,7,0,2.06,68
30/01/2023,January,2023,Spain,Pro,1336,83,2,2.61,68
31/01/2023,January,2023,Spain,Pro,395,27,2,2.56,65
01/01/2023,January,2023,Spain,Enterprise,1455,32,1,2.56,42
02/01/2023,January,2023,Spain,Enterprise,376,8,0,2.41,47
03/01/2023,January,2023,Spain,Enterprise,297,7,0,2.13,48
04/01/2023,January,2023,Spain,Enterprise,786,17,1,2.73,45
05/01/2023,January,2023,Spain,Enterprise,540,12,0,2.85,45
06/01/2023,January,2023,Spain,Enterprise,656,15,1,2.29,38
07/01/2023,January,2023,Spain,Enterprise,1190,26,1,2.22,39
08/01/2023,January,2023,Spain,Enterprise,133,3,0,2.24,38
09/01/2023,January,2023,Spain,Enterprise,153,3,0,2.21,46
